EnergyDCTDelta,EnergyIDCTDelta,EnergyFFTDelta,EnergyIFFTDelta,EnergyDWTcADelta,EnergyDWTcDDelta,EnergySTFTDelta,EnergyWVDDelta,EnergyDCTTheta,EnergyIDCTTheta,EnergyFFTTheta,EnergyIFFTTheta,EnergyDWTcATheta,EnergyDWTcDTheta,EnergySTFTTheta,EnergyWVDTheta,EnergyDCTAlphaLow,EnergyIDCTAlphaLow,EnergyFFTAlphaLow,EnergyIFFTAlphaLow,EnergyDWTcAAlphaLow,EnergyDWTcDAlphaLow,EnergySTFTAlphaLow,EnergyWVDAlphaLow,EnergyDCTAlphaHigh,EnergyIDCTAlphaHigh,EnergyFFTAlphaHigh,EnergyIFFTAlphaHigh,EnergyDWTcAAlphaHigh,EnergyDWTcDAlphaHigh,EnergySTFTAlphaHigh,EnergyWVDAlphaHigh,EnergyDCTBetaLow,EnergyIDCTBetaLow,EnergyFFTBetaLow,EnergyIFFTBetaLow,EnergyDWTcABetaLow,EnergyDWTcDBetaLow,EnergySTFTBetaLow,EnergyWVDBetaLow,EnergyDCTBetaHigh,EnergyIDCTBetaHigh,EnergyFFTBetaHigh,EnergyIFFTBetaHigh,EnergyDWTcABetaHigh,EnergyDWTcDBetaHigh,EnergySTFTBetaHigh,EnergyWVDBetaHigh,EnergyDCTGammaLow,EnergyIDCTGammaLow,EnergyFFTGammaLow,EnergyIFFTGammaLow,EnergyDWTcAGammaLow,EnergyDWTcDGammaLow,EnergySTFTGammaLow,EnergyWVDGammaLow,EnergyDCTGammaMid,EnergyIDCTGammaMid,EnergyFFTGammaMid,EnergyIFFTGammaMid,EnergyDWTcAGammaMid,EnergyDWTcDGammaMid,EnergySTFTGammaMid,EnergyWVDGammaMid,Level
2.20E+17,1.99E+17,9.94E+16,2.85E+13,8.48E+14,8.36E+14,2.457627119,4.53E+32,3.44E+17,2.82E+17,1.49E+17,4.28E+13,1.55E+15,9.77E+14,2.457627119,7.19E+32,5.26E+17,4.14E+17,2.15E+17,6.19E+13,2.11E+15,1.54E+15,2.457627119,1.12E+33,7.82E+17,5.97E+17,2.98E+17,8.57E+13,3.38E+15,1.68E+15,2.457627119,1.65E+33,6.86E+16,6.63E+16,3.31E+16,9.52E+12,2.81E+14,2.80E+14,2.457627119,1.42E+32,1.49E+12,8.17E+11,4.18E+11,119998049.9,6376510169,782389095,2.457627119,2.41E+21,4.58E+11,2.50E+11,1.32E+11,37907689.78,1972138282,311132640,2.457627119,2.54E+20,1.01E+11,56363439447,28249071793,8115217.407,411393937.5,69843733.5,2.457627119,1.02E+19,3
4.90E+14,4.53E+14,2.29E+14,65860135170,2.15E+12,1.74E+12,2.457627119,9.87E+27,3.02E+17,2.65E+17,1.32E+17,3.81E+13,1.12E+15,1.12E+15,2.457627119,6.23E+32,4.79E+17,3.81E+17,1.99E+17,5.71E+13,1.97E+15,1.40E+15,2.457627119,1.00E+33,9.46E+17,6.80E+17,3.48E+17,1.00E+14,4.64E+15,1.26E+15,2.457627119,1.99E+33,2.19E+12,1.19E+12,6.23E+11,178920141.5,9285785744,1311860366,2.457627119,5.55E+21,6.85E+16,4.96E+16,3.31E+16,9.51E+12,2.81E+14,2.80E+14,2.457627119,1.42E+32,8.05E+11,4.35E+11,2.40E+11,68932925.29,3476468656,598611161.5,2.457627119,1.26E+21,2.65E+11,1.45E+11,81686569670,23466408.98,1181779382,203252837.5,2.457627119,1.79E+20,3
6.88E+16,6.63E+16,3.32E+16,9.53E+12,2.81E+14,2.81E+14,2.457627119,1.42E+32,2.19E+17,1.99E+17,9.94E+16,2.85E+13,8.44E+14,8.40E+14,2.457627119,4.53E+32,6.75E+17,5.30E+17,2.65E+17,7.62E+13,3.79E+15,9.82E+14,2.457627119,1.40E+33,6.77E+17,5.30E+17,2.65E+17,7.62E+13,3.24E+15,1.53E+15,2.457627119,1.40E+33,3.37E+16,3.31E+16,1.66E+16,4.75E+12,1.41E+14,1.40E+14,2.457627119,7.20E+31,1.51E+12,8.38E+11,4.20E+11,120684186.2,6454418561,779882698.5,2.457627119,2.57E+21,4.37E+11,2.45E+11,1.23E+11,35354179.9,1874677381,216085669,2.457627119,2.49E+20,1.59E+11,96582126269,48447253864,13917625.36,698166288,128571564,2.457627119,7.02E+19,3
4.52E+16,4.27E+16,2.13E+16,1.48E+13,5.62E+14,2.47E+11,1.710526316,5.99E+31,1.48E+17,1.17E+17,6.40E+16,4.43E+13,1.13E+15,5.58E+14,1.710526316,2.01E+32,4.50E+16,4.27E+16,2.13E+16,1.48E+13,2.81E+14,2.81E+14,1.710526316,6.00E+31,1.78E+17,1.50E+17,7.48E+16,5.18E+13,1.27E+15,6.97E+14,1.710526316,2.43E+32,8.07E+11,4.44E+11,2.31E+11,159980545.5,5391703019,687557710.5,1.710526316,1.25E+21,5.69E+11,3.10E+11,1.57E+11,108449525.8,3916016818,205065161.5,1.710526316,4.48E+20,2.50E+11,1.42E+11,73625596106,50987254.92,1658892484,278623203.5,1.710526316,1.78E+20,68845321718,37317666718,20041614618,13879234.5,446498238.5,80912672.5,1.710526316,9.46E+18,3
1.43E+17,1.33E+17,6.65E+16,1.91E+13,5.64E+14,5.62E+14,2.457627119,2.93E+32,5.26E+17,4.31E+17,2.15E+17,6.19E+13,2.11E+15,1.54E+15,2.457627119,1.10E+33,6.75E+17,5.30E+17,2.65E+17,7.61E+13,3.09E+15,1.40E+15,2.457627119,1.40E+33,6.76E+17,5.30E+17,2.65E+17,7.62E+13,3.10E+15,1.40E+15,2.457627119,1.42E+33,1.04E+17,9.93E+16,4.96E+16,1.43E+13,4.21E+14,4.20E+14,2.457627119,2.30E+32,3.38E+16,3.32E+16,1.66E+16,4.77E+12,1.41E+14,1.40E+14,2.457627119,7.24E+31,1.01E+12,5.59E+11,2.81E+11,80588649.31,4421145538,339504260,2.457627119,1.06E+21,4.34E+11,2.54E+11,1.28E+11,36838353,1907352120,269314807.5,2.457627119,3.79E+20,3
2.61E+17,2.32E+17,1.16E+17,3.33E+13,1.41E+15,8.41E+14,2.457627119,5.51E+32,5.75E+17,4.47E+17,2.32E+17,6.66E+13,2.53E+15,1.40E+15,2.457627119,1.19E+33,5.26E+17,4.14E+17,2.15E+17,6.19E+13,2.25E+15,1.68E+15,2.457627119,1.10E+33,9.47E+17,6.96E+17,3.48E+17,1.00E+14,4.65E+15,1.25E+15,2.457627119,1.96E+33,6.86E+16,6.62E+16,3.31E+16,9.52E+12,2.81E+14,2.80E+14,2.457627119,1.42E+32,2.05E+12,1.09E+12,5.48E+11,157415470.1,9009519580,543324679.5,2.457627119,3.32E+21,7.10E+11,4.05E+11,2.03E+11,58326950.44,3180598101,436837959,2.457627119,5.88E+20,1.76E+11,99501336529,50554804074,14523069.25,796881169,88816817,2.457627119,4.00E+19,3
8.38E+17,6.30E+17,3.15E+17,9.05E+13,3.96E+15,1.65E+15,2.457627119,1.79E+33,7.80E+17,5.96E+17,2.98E+17,8.57E+13,3.52E+15,1.82E+15,2.457627119,1.62E+33,6.75E+17,5.30E+17,2.65E+17,7.62E+13,3.09E+15,1.40E+15,2.457627119,1.41E+33,8.92E+17,6.63E+17,3.32E+17,9.53E+13,3.67E+15,1.95E+15,2.457627119,1.85E+33,1.86E+12,1.06E+12,5.28E+11,151580615.6,8373057736,779550544,2.457627119,3.77E+21,1.46E+12,8.07E+11,4.04E+11,115929932,6210701436,789516122,2.457627119,2.30E+21,4.75E+11,2.72E+11,1.36E+11,39079696.31,2105283705,211527266.5,2.457627119,3.42E+20,1.33E+11,76820218990,38410119053,11034219.78,561256488,102386288,2.457627119,2.36E+19,3
1.12E+18,7.96E+17,3.98E+17,1.14E+14,4.79E+15,1.95E+15,2.457627119,2.32E+33,7.80E+17,5.97E+17,2.98E+17,8.57E+13,3.10E+15,1.96E+15,2.457627119,1.63E+33,5.75E+17,4.64E+17,2.32E+17,6.66E+13,2.53E+15,1.40E+15,2.457627119,1.19E+33,4.35E+17,3.65E+17,1.82E+17,5.24E+13,1.84E+15,1.26E+15,2.457627119,9.10E+32,3.37E+16,3.31E+16,1.66E+16,4.76E+12,1.41E+14,1.40E+14,2.457627119,6.98E+31,1.23E+12,6.69E+11,3.35E+11,96294970.47,5264377761,463660738.5,2.457627119,1.38E+21,3.99E+11,2.16E+11,1.08E+11,31137380.03,1695222752,161102126,2.457627119,1.42E+20,1.19E+11,64138590309,33172395292,9529559.119,513636306.5,52041290.5,2.457627119,1.37E+19,3
1.50E+17,1.35E+17,6.73E+16,1.93E+13,8.62E+14,2.79E+14,2.457627119,2.94E+32,5.28E+17,4.31E+17,2.15E+17,6.19E+13,2.25E+15,1.68E+15,2.457627119,1.09E+33,2.60E+17,2.32E+17,1.16E+17,3.33E+13,9.85E+14,9.79E+14,2.457627119,5.37E+32,5.75E+17,4.64E+17,2.32E+17,6.66E+13,1.97E+15,1.96E+15,2.457627119,1.19E+33,2.60E+17,2.32E+17,1.16E+17,3.33E+13,1.54E+15,4.20E+14,2.457627119,5.51E+32,6.75E+17,5.30E+17,2.65E+17,7.61E+13,2.81E+15,1.68E+15,2.457627119,1.40E+33,1.05E+17,9.94E+16,4.97E+16,1.43E+13,4.22E+14,4.21E+14,2.457627119,2.16E+32,1.51E+12,9.17E+11,4.59E+11,131778711.8,6693475359,1383741635,2.457627119,3.40E+21,3
5.35E+17,4.32E+17,2.16E+17,6.20E+13,2.15E+15,1.51E+15,2.457627119,1.10E+33,6.76E+17,5.30E+17,2.65E+17,7.62E+13,2.82E+15,1.68E+15,2.457627119,1.41E+33,4.79E+17,3.98E+17,1.99E+17,5.71E+13,2.25E+15,1.12E+15,2.457627119,1.00E+33,5.27E+17,4.31E+17,2.15E+17,6.19E+13,3.09E+15,8.38E+14,2.457627119,1.09E+33,6.85E+16,6.62E+16,3.31E+16,9.51E+12,2.81E+14,2.80E+14,2.457627119,1.44E+32,3.37E+16,3.31E+16,1.65E+16,4.75E+12,1.40E+14,1.40E+14,2.457627119,6.96E+31,9.00E+11,5.52E+11,2.76E+11,79266784.27,4153417265,622604303,2.457627119,1.87E+21,2.63E+11,1.71E+11,85291891461,24502123.37,1182547265,278342663,2.457627119,3.17E+20,3
