Delta,,,,,,,Theta,,,,,,,alphaLow,,,,,,,alphaHigh,,,,,,,betaLow,,,,,,,betaHigh,,,,,,,gammaLow,,,,,,,gammaMid,,,,,,,Level
Mean,Median,Skewness,Kurtosis,StdDevia,RMS,Energy,Mean,Median,Skewness,Kurtosis,StdDevia,RMS,Energy,Mean,Median,Skewness,Kurtosis,StdDevia,RMS,Energy,Mean,Median,Skewness,Kurtosis,StdDevia,RMS,Energy,Mean,Median,Skewness,Kurtosis,StdDevia,RMS,Energy,Mean,Median,Skewness,Kurtosis,StdDevia,RMS,Energy,Mean,Median,Skewness,Kurtosis,StdDevia,RMS,Energy,Mean,Median,Skewness,Kurtosis,StdDevia,RMS,Energy,
867800.4406779661,471980.0,6.900104876411152,50.80997212509998,2180252.2066635275,2329379.638066026,1,2705772.220338983,126485.0,1.977387858736326,1.9871735556020726,6018831.2718905,6552368.090749131,1,4569626.72881356,22955.0,1.056281659770535,-0.9163091447033489,7497253.215827206,8725686.368389081,1,876234.6440677966,12828.0,4.195956884542145,16.154493880607525,3707795.0545146554,3779221.970824167,1,2003533.406779661,11757.0,2.4205461966467885,3.99348966086701,5460068.549324541,5772451.873507389,1,1435115.06779661,12142.0,3.0603092612300755,7.623132350494714,4700512.158838203,4876461.97882317,1,296938.9152542373,8656.0,7.679968692810573,58.98767646375362,2179469.0003344635,2181226.243530273,1,289491.13559322036,4153.0,7.681071044590173,58.99922154853274,2179685.6734586796,2180437.760324689,1,1
1850793.6610169492,955759.0,3.8815421950440823,14.407806728961571,3566533.667004067,3991240.859768886,1,3004172.9830508474,167201.0,1.8033092320561515,1.3034694800257385,6271249.744812484,6905580.5465377085,1,2584507.9491525423,13862.0,1.9833039245184858,2.000646575770656,6064599.287101886,6544896.24003353,1,2582831.440677966,18185.0,1.9833120211232544,2.0006637961819433,6066146.481898007,6545643.911712309,1,1724036.9830508474,13034.0,2.7042283536699196,5.499667605978962,5101064.802659984,5343419.698890571,1,1156910.6440677966,12137.0,3.527086056838933,10.8102419389794,4243238.59401156,4363295.229786186,1,870234.406779661,6484.0,4.193692096755691,16.14173484993988,3712198.8060411513,3782084.274319194,1,577820.3050847457,3042.0,5.285282412967747,26.848515951850565,3060695.3722598176,3089167.4029841763,1,1
1134942.7966101696,479148.0,5.0168869003169405,24.924250814380954,2999883.1696207244,3183530.0675341226,1,2990260.7118644067,163977.0,1.8014850759825525,1.2993890701206507,6277578.349737964,6905194.930571217,1,3158768.084745763,13877.0,1.6522154794586055,0.7548019966492303,6566936.6256592665,7236818.781399239,1,2868806.9322033897,16576.0,1.8079471850985385,1.3123656992171564,6330274.618742106,6900959.1461404655,1,1726608.4576271186,11915.0,2.7044241769159387,5.500335158836901,5100007.225326084,5343257.597905568,1,2852983.7288135593,15233.0,1.8081243756712828,1.3126972105011165,6335303.4250457045,6898935.662845219,1,2284350.2372881356,10981.0,2.1847265581346726,2.8692484936574956,5780206.466923893,6169502.272049886,1,291403.81355932204,5399.0,7.681019248296622,58.998681903976745,2180037.296339576,2181038.02976616,1,1
1170896.4576271186,481808.0,5.024273808084331,24.98209265010074,2993933.568661356,3191035.984852698,1,2100540.559322034,81245.0,2.416789359890265,3.982545813671368,5424578.38427739,5774043.1819815785,1,3711906.7118644067,18011.0,1.3848188617147912,-0.08618053162050021,6995135.28927091,7866435.953800261,1,2012726.152542373,18225.0,2.4204247465853355,3.993149700372349,5458462.122450548,5774156.089768662,1,1435455.7118644067,15008.0,3.060340557511534,7.62324980908849,4701021.499216061,4877044.872885245,1,2568180.779661017,14259.0,1.9835416111757769,2.0011595997967437,6073173.482987965,6546284.876616621,1,2850740.6440677964,13198.0,1.808128133256691,1.3127048198499884,6335688.327412213,6898355.874774226,1,292725.5084745763,6579.0,7.680903824739544,58.9974764671826,2179888.9922336396,2181069.3002075027,1,1
927347.5423728813,426105.0,6.595898274810714,47.57736835495711,2206970.445814706,2376581.044562064,1,3835929.0169491526,133225.0,1.3800411948565035,-0.09230803142002442,6933445.394591503,7872243.995836063,1,2583039.813559322,21507.0,1.9833434200208364,2.000735077720195,6067118.872059611,6546612.020246124,1,2578454.084745763,17355.0,1.983455122663709,2.0009761046693586,6069532.677733327,6547003.796890736,1,2008265.627118644,16559.0,2.420489889481197,3.9933284914672433,5455125.3862527935,5769501.214730476,1,2003361.5762711863,13064.0,2.4205474202279142,3.9934938429953726,5458581.559706398,5771009.564268126,1,866336.3220338983,9928.0,4.196356844673445,16.15667273425723,3710380.215587403,3779434.1265850337,1,293125.3898305085,6583.0,7.680887212767119,58.997303292832875,2181088.931718496,2182301.94505244,1,1
1758434.4745762711,120584.0,2.9958260724127572,7.366192109979554,4630338.8410273865,4916171.184286761,1,2031280.8305084745,25134.0,2.4201003651978836,3.9922225526079482,5453216.178179313,5775780.635061249,1,1154895.2372881356,12437.0,3.5285863029257145,10.817172089751454,4245505.87142409,4364929.113111341,1,1431704.4576271186,6379.0,3.060316120644781,7.623167964275641,4703896.682602468,4878667.214534204,1,577971.779661017,8200.0,5.286542925784135,26.857490149688065,3058955.3345904686,3087500.992026512,1,1717931.1186440678,14822.0,2.7048362308734095,5.501696215814384,5100227.114832984,5340666.365619705,1,1997425.4745762711,13119.0,2.420613052174728,3.993675011574625,5458637.762224518,5769003.855755122,1,6986.745762711865,5468.0,1.2930086745636276,1.8405822808564065,6109.589208475309,9247.109508986387,1,1
3203405.0,219232.0,1.7827651117215522,1.263073601750992,6197045.832781739,6929233.431758438,1,5457921.694915255,68762.0,0.7806437513310944,-1.4390156487655312,7857055.456289793,9511882.158957848,1,1434574.152542373,9539.0,3.0602029751565034,7.622723147258499,4702936.25294212,4878599.969540405,1,1430245.1694915255,9729.0,3.0603784723458904,7.623394028682236,4702628.358335985,4877036.914903704,1,580890.7288135593,7422.0,5.285992631881772,26.853644110321785,3057050.3967588725,3086193.7550620036,1,1152914.220338983,13676.0,3.5285541022292386,10.817020206575359,4243619.374046186,4362601.411557681,1,578128.5593220339,7222.0,5.286535213249771,26.857436678952002,3059607.6529068076,3088165.6741783307,1,289161.0,4873.0,7.681095790981699,58.99947947996129,2181289.320907492,2181969.9186924016,1,1
2478076.13559322,83934.0,2.169516851316363,2.829877517317158,5715921.527640368,6185374.816318215,1,4047069.118644068,34686.0,1.2655297475546794,-0.4105032468951899,7150036.368229953,8163044.570045596,1,1435774.152542373,8627.0,3.0601802212356057,7.6226417589613895,4703956.540978159,4879919.789031107,1,1436648.440677966,9325.0,3.059761141631567,7.62101048959644,4700724.244386307,4877114.411947256,1,890763.9491525424,11540.0,4.174448188829374,16.028139825589093,3709626.8871225626,3784382.267370957,1,1465635.6779661018,11887.0,3.0456521503350733,7.562078713798982,4699499.692925721,4884573.4952371465,1,312298.28813559323,9475.0,7.632360089779075,58.4701022420316,2182309.9691054593,2186158.062960104,1,297020.30508474575,4177.0,7.673576646491491,58.91984710007348,2179052.4794152146,2180828.196370415,1,1
2177326.4615384615,134038.0,2.5356283026929076,4.842407862111536,5380205.611393314,5707366.441190476,1,696225.4230769231,32596.0,5.096678375358562,25.983419814746743,3274299.3288402106,3285333.832728834,1,1297775.9615384615,7506.0,3.373187064667618,10.156006357794821,4547904.730971804,4644582.119378518,1,1299737.2692307692,10865.0,3.3731787498984156,10.155969123423313,4551119.901659472,4648157.410683279,1,7314.423076923077,6046.0,1.114788503609442,1.3483644869654836,6040.15652229693,9411.751408580822,1,1298072.8461538462,9612.5,3.373226433520916,10.156181023764175,4549486.21318892,4646154.079789964,1,653420.9615384615,10353.0,5.098995023615984,25.999827088684974,3283162.360187866,3285046.5976163694,1,5872.384615384615,2710.0,1.0062161922490946,-0.620594060832651,6129.483613335942,8403.002352639296,1,1
2580702.5084745763,159974.0,2.1518918546661765,2.7826860509848914,5687327.7953196755,6201410.382200912,1,4054110.9830508474,40835.0,1.265737255128086,-0.41021968713417944,7149938.660873956,8166453.975452445,1,1450439.4237288137,14799.0,3.0586944914738567,7.616860199590052,4697939.774941206,4878558.602551157,1,1434990.2542372881,10008.0,3.0602678978797604,7.6229807114793395,4702718.95028377,4878516.420128557,1,1147033.0338983051,10943.0,3.5287483192899924,10.817896484447678,4245476.920792349,4362827.784974241,1,1998383.593220339,15049.0,2.4206129343737293,3.993675760525393,5458210.079714754,5768937.869023963,1,295707.30508474575,7976.0,7.680705729201498,58.99541006282997,2178433.9335584575,2180042.143790776,1,289609.69491525425,4630.0,7.6810872338928515,58.999390338001575,2181960.259425655,2182688.7711218065,1,1
