MeanDelta,MedianDelta,SkewnessDelta,KurtosisDelta,StdDeviaDelta,RMSDelta,EnergyDelta,MeanTheta,MedianTheta,SkewnessTheta,KurtosisTheta,StdDeviaTheta,RMSTheta,EnergyTheta,MeanalphaLow,MedianalphaLow,SkewnessalphaLow,KurtosisalphaLow,StdDeviaalphaLow,RMSalphaLow,EnergyalphaLow,MeanalphaHigh,MedianalphaHigh,SkewnessalphaHigh,KurtosisalphaHigh,StdDeviaalphaHigh,RMSalphaHigh,EnergyalphaHigh,MeanbetaLow,MedianbetaLow,SkewnessbetaLow,KurtosisbetaLow,StdDeviabetaLow,RMSbetaLow,EnergybetaLow,MeanbetaHigh,MedianbetaHigh,SkewnessbetaHigh,KurtosisbetaHigh,StdDeviabetaHigh,RMSbetaHigh,EnergybetaHigh,MeangammaLow,MediangammaLow,SkewnessgammaLow,KurtosisgammaLow,StdDeviagammaLow,RMSgammaLow,EnergygammaLow,MeangammaMid,MediangammaMid,SkewnessgammaMid,KurtosisgammaMid,StdDeviagammaMid,RMSgammaMid,EnergygammaMid,Level
2221039.695,65810,2.382301989,3.876810347,5399952.83,5796402.267,1,1741819.644,21789,2.704122167,5.499347792,5097519.858,5345860.603,1,1713845.78,8147,2.704866512,5.501808059,5105996.34,5344771.395,1,583451,10465,5.286220441,26.85526118,3055969.31,3085624.123,1,1145465.237,8398,3.528744801,10.81787695,4244417.753,4361402.561,1,584152.1356,14859,5.286344984,26.85613986,3056539.686,3086312.074,1,1144606.424,8906,3.528768073,10.81800175,4245622.746,4362329.95,1,5828.152542,3821,2.425278299,5.621461805,6559.549069,8733.027154,1,1
1746615.61,145700,2.998152211,7.372921662,4633523.397,4914907.392,1,3488099.797,41374,1.511085205,0.294534597,6764631.918,7559860.303,1,2288532.661,13300,2.184656596,2.869082254,5780097.664,6170951.916,1,2282585.932,8489,2.184731749,2.869262424,5784101.637,6172437.305,1,1146574.593,9507,3.52873251,10.81782769,4245414.827,4362647.877,1,580463.5763,10739,5.286394642,26.8564461,3055952.172,3085043.947,1,9848.915254,7256,3.152390262,14.50702635,10219.78006,14130.63341,1,573206.6949,3515,5.286558405,26.85759962,3057054.561,3084760.736,1,1
1746615.61,145700,2.998152211,7.372921662,4633523.397,4914907.392,1,3488099.797,41374,1.511085205,0.294534597,6764631.918,7559860.303,1,2288532.661,13300,2.184656596,2.869082254,5780097.664,6170951.916,1,2282585.932,8489,2.184731749,2.869262424,5784101.637,6172437.305,1,1146574.593,9507,3.52873251,10.81782769,4245414.827,4362647.877,1,580463.5763,10739,5.286394642,26.8564461,3055952.172,3085043.947,1,9848.915254,7256,3.152390262,14.50702635,10219.78006,14130.63341,1,573206.6949,3515,5.286558405,26.85759962,3057054.561,3084760.736,1,1
2054037.186,132357,2.629935945,5.239163782,5032051.826,5395501.423,1,2061883.271,39186,2.418997873,3.989074246,5438355.687,5772849.551,1,591082.8983,9388,5.283764015,26.83774948,3052852.749,3084043.502,1,2282308.864,9989,2.184735445,2.869271751,5780964.163,6169444.66,1,1150805.305,11553,3.528677764,10.81758904,4244328.319,4362722.57,1,5123562.525,22995,0.868879564,-1.289949153,7774440.1,9255721.07,1,1998871.898,10577,2.42059661,3.993632644,5459027.167,5769866.996,1,574794.1695,5895,5.286551924,26.85755337,3054983.754,3083038.905,1,1
2423919.441,297600,2.37911448,3.871245981,5332733.202,5816479.014,1,5497119.729,132206,0.778563579,-1.439687436,7832960.779,9514918.81,1,1443363.898,14387,3.060020097,7.622027812,4700087.958,4878494.169,1,1720590.576,10965,2.7046179,5.500982973,5102352.464,5343517.414,1,2572759.051,9721,1.983239081,2.000496645,6070521.383,6545664.357,1,3703942.763,17510,1.384919015,-0.086063226,6996123.282,7863545.265,1,1998414.831,11119,2.420605999,3.993661031,5460800.016,5771357.657,1,8492.762712,4835,4.891565788,30.66295247,11739.35428,14408.45771,1,1
1631419.339,342812,3.408096186,10.25227524,4156071.05,4431895.099,1,3479760.61,78986,1.511820153,0.295587791,6770573.654,7561245.998,1,4272437.932,14165,1.158457711,-0.682235245,7352202.486,8449403.698,1,1440663.644,12399,3.060206241,7.622746741,4700954.692,4878516.973,1,3133180.441,11759,1.652527318,0.755306374,6575925.232,7233718.521,1,3988377.39,16571,1.267517439,-0.408405191,7183253.991,8162826.131,1,1716031.559,14114,2.704878407,5.501845321,5104768.293,5344319.549,1,7960.627119,6529,1.259740311,1.874405093,6499.901577,10242.27634,1,1
1607312.627,385140,3.434677399,10.37914089,4153703.663,4420891.309,1,4655968.864,166376,1.054918673,-0.917178207,7447643.159,8729565.25,1,2005127.644,14054,2.420482286,3.993310047,5459368.539,5772354.565,1,1433468.559,10885,3.060312306,7.62314546,4703027.988,4878361.919,1,2850195.271,8698,1.808127283,1.312706361,6336086.464,6898489.996,1,3706789.254,16926,1.384907443,-0.086076584,6995712.821,7864527.51,1,2566641.22,10063,1.983540605,2.001159761,6071963.534,6544577.48,1,290824.2712,5592,7.681070589,58.999217,2182844.51,2183719.171,1,1
1825127.667,510945.5,3.250854692,9.137078934,4300696.891,4635144.695,1,3268468.222,99566.5,1.656132552,0.788753172,6501752.973,7223077.375,1,1274080.926,16928,3.345466791,9.546934864,4420428.482,4560878.735,1,1262397.519,11774,3.346003175,9.549226047,4423697.305,4560740.58,1,1905438.833,16137,2.544105598,4.647676208,5302561.949,5588127.787,1,4393106.741,22905.5,1.129203996,-0.752484281,7382864.239,8532097.524,1,2206083.074,17896.5,2.267990035,3.264976754,5670073.873,6034995.836,1,1259576,6671.5,3.345720096,9.548023377,4425711.073,4561877.847,1,1
2391052.814,396114,2.384800678,3.887052976,5338047.705,5807660.883,1,3227279.847,76604,1.648719985,0.748638701,6535838.715,7239371.712,1,2025747.237,15294,2.415391148,3.97771944,5456268.269,5776670.701,1,2581391,12928,1.981905424,1.997433745,6065106.142,6544127.807,1,2854080.136,10354,1.808027986,1.312515278,6335039.326,6899150.748,1,2857586.729,15581,1.80796946,1.31240491,6332780.091,6898563.258,1,870665.5593,10835,4.195055433,16.14941967,3708016.082,3778147.877,1,298660.0678,5032,7.670412062,58.88596913,2179180.106,2181177.479,1,1
2505163.475,508602,2.359069974,3.808661335,5312913.857,5833050.064,1,4644786.508,123205,1.054576739,-0.917464567,7454111.624,8729035.618,1,3992553.712,12469,1.267401571,-0.408519554,7180100.244,8162140.085,1,1726466.525,11042,2.704145242,5.499402433,5100973.69,5344118.584,1,1717088.542,13512,2.704851726,5.501756215,5103413.828,5343387.308,1,3994380.034,20708,1.267466176,-0.40845535,7177561.569,8160838.549,1,1999377.271,10835,2.420596895,3.993633789,5460625.811,5771528.96,1,290147.5254,5237,7.681076796,58.9992817,2179588.417,2180429.434,1,1
