timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1567782158609,25,43,9.448242187500001E-6,0,0,46,9,1,0,0,0,0,0,0,Tag0,unknown
1567782159631,25,-88,-1.93359375E-5,0,0,46,3073,1243,273,66,26,53,40,7,Tag0,unknown
1567782160635,0,2,4.39453125E-7,0,0,46,504411,40734,9459,6182,12167,7576,15715,6273,Tag0,unknown
1567782161647,0,27,5.9326171875000005E-6,0,0,46,185215,16485,4525,5803,3323,2601,2290,705,Tag0,unknown
1567782162651,0,-39,-8.5693359375E-6,0,0,42,80726,28150,12007,22274,3491,5974,1376,1105,Tag0,unknown
1567782163666,0,48,1.0546875E-5,30,30,46,86442,77365,639,2756,7789,3925,4099,947,Tag0,unknown
1567782164677,0,58,1.2744140625E-5,20,37,41,132917,16762671,11957,4677,4831,3220,1898,485,Tag0,unknown
1567782165690,0,1,2.197265625E-7,43,41,46,71334,16776716,20848,17509,16760540,24904,12722,3387,Tag0,unknown
1567782166715,0,34,7.4707031250000005E-6,66,40,46,31526,16751011,2541,4253,8604,18177,8197,11761,Tag0,unknown
1567782167742,0,106,2.3291015625000003E-5,77,48,59,133441,16764048,7246,4298,1419,7570,5843,1298,Tag0,unknown
1567782168758,0,102,2.2412109374999998E-5,91,54,59,69735,16515,12958,6062,4489,4685,7028,2164,Tag0,unknown
1567782169779,0,68,1.4941406250000001E-5,87,61,59,16756663,22107,14175,14491,13942,14648,12578,5705,Tag0,unknown
1567782170791,0,32,7.03125E-6,75,67,55,96307,159961,16760836,11552,16747127,16754147,27516,3473,Tag0,unknown
1567782171805,0,7,1.5380859375E-6,94,74,55,96235,14668,4191,17530,13640,24455,14198,7994,Tag0,unknown
1567782172816,0,-375,-8.23974609375E-5,100,63,55,66782,10493,2506,1296,4559,9537,2732,2719,Tag0,unknown
1567782173827,0,-262,-5.7568359375E-5,96,63,55,1467254,33731,16772268,29385,23031,27769,16760552,13588,Tag0,unknown
1567782174841,0,123,2.70263671875E-5,94,66,44,353114,16746489,12249,9143,3043,12337,13174,7575,Tag0,unknown
1567782175859,0,-124,-2.724609375E-5,67,60,37,2287748,459105,30313,16774352,16766571,16775320,27070,16756406,Tag0,unknown
1567782176859,0,61,1.34033203125E-5,30,64,58,84568,56141,21189,21368,1474,9242,13018,2988,Tag0,unknown
1567782177876,0,86,1.8896484375000003E-5,35,56,58,965962,108237,21403,26835,28195,16749685,31266,4480,Tag0,unknown
