timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1567585042280,51,1791,3.935302734375E-4,0,0,43,779955,13374,3127,6267,13060,9300,6939,3127,Tag0,unknown
1567585043292,51,-1596,-3.5068359375000003E-4,0,0,43,1551328,16762097,16752452,23204,5507,7560,4872,1867,Tag0,unknown
1567585044317,51,1035,2.274169921875E-4,0,0,43,1565739,77085,18379,2653,17989,79128,16763690,4756,Tag0,unknown
1567585045325,51,-1522,-3.34423828125E-4,0,0,43,1196289,17255,14950,27182,8665,19867,1733,441,Tag0,unknown
1567585046328,51,261,5.73486328125E-5,0,0,43,494967,16747115,3694,6889,3637,3688,1992,1440,Tag0,unknown
1567585047339,51,-193,-4.2407226562500005E-5,0,0,43,1774416,16759730,29466,25358,13957,8783,3933,1467,Tag0,unknown
1567585048347,51,1284,2.8212890625000004E-4,0,0,43,839028,9228,7523,2764,2554,1769,951,317,Tag0,unknown
1567585049347,51,-796,-1.7490234374999998E-4,0,0,43,878890,53224,16765532,16753915,18805,4566,2847,2121,Tag0,unknown
1567585050353,51,1785,3.922119140625E-4,0,0,43,1059984,5809,1858,3269,638,1506,1024,130,Tag0,unknown
1567585051355,51,-932,-2.0478515625000002E-4,0,0,43,1085584,16770315,6614,3879,2241,6943,3513,467,Tag0,unknown
1567585052370,26,396,8.701171875000001E-5,0,0,43,1007302,16775073,7007,11982,8933,4509,3363,2271,Tag0,unknown
1567585053375,51,-409,-8.986816406250001E-5,0,0,43,1249560,16745515,6419,11414,5216,6819,2325,543,Tag0,unknown
1567585054382,51,1866,4.10009765625E-4,0,0,43,639152,17109,2535,7065,1950,1643,736,268,Tag0,unknown
1567585055391,51,-839,-1.843505859375E-4,0,0,43,2293125,105135,8346,14359,11241,4171,1725,798,Tag0,unknown
1567585056394,26,-563,-1.237060546875E-4,0,0,43,985248,8582,242,4401,3709,2358,235,385,Tag0,unknown
1567585057401,0,131,2.87841796875E-5,0,0,43,500296,2713,2656,904,526,1588,330,333,Tag0,unknown
1567585058409,26,-521,-1.1447753906250001E-4,0,0,43,486939,7818,1595,1275,1305,775,172,16777114,Tag0,unknown
1567585059419,0,1337,2.937744140625E-4,0,0,126,1082471,13351,5730,3530,5089,1337,717,1226,Tag0,unknown
1567585060424,26,-679,-1.491943359375E-4,0,0,126,594798,76936,249,3152,6589,3784,2325,582,Tag0,unknown
1567585061431,0,-339,-7.448730468750001E-5,0,0,126,1215724,80118,161909,16753937,18706,10932,4495,1375,Tag0,unknown
1567585062432,0,-105,-2.30712890625E-5,50,48,126,1703628,7157,17384,12184,6193,7037,2633,489,Tag0,unknown
1567585063444,26,-564,-1.2392578125E-4,50,48,126,424772,8990,1554,483,416,144,131,73,Tag0,unknown
1567585064452,26,1138,2.50048828125E-4,50,48,126,647149,817,3300,1464,1887,1230,315,307,Tag0,unknown
1567585065457,26,-433,-9.51416015625E-5,50,48,126,1800202,16746549,3651,15843,12555,7143,1808,2277,Tag0,unknown
1567585066464,0,-148,-3.251953125E-5,53,54,126,1511781,20175,30848,9410,6788,5077,2274,1667,Tag0,unknown
1567585067471,0,-92,-2.021484375E-5,54,38,110,787164,16755111,7676,9738,4847,5320,1756,807,Tag0,unknown
1567585068478,0,-248,-5.44921875E-5,63,37,91,1796228,29370,28248,5538,10091,10023,3109,679,Tag0,unknown
1567585069485,0,112,2.4609375E-5,64,14,91,1487764,19669,5403,6414,3872,6448,2047,374,Tag0,unknown
1567585070491,0,-819,-1.799560546875E-4,54,7,91,2873864,108335,17448,53798,12775,11994,3304,1746,Tag0,unknown
1567585071498,0,197,4.32861328125E-5,56,8,91,670486,8972,3985,357,2323,1215,165,16777157,Tag0,unknown
1567585072517,26,-661,-1.452392578125E-4,56,8,91,2333946,161975,16754670,16747796,17604,22042,8151,2742,Tag0,unknown
1567585073517,0,912,2.0039062500000002E-4,43,8,91,640369,19237,1042,18903,7448,1841,2429,505,Tag0,unknown
1567585074520,0,-459,-1.008544921875E-4,38,11,91,1633181,16746901,12145,8852,4879,6896,1704,986,Tag0,unknown
1567585075526,26,-325,-7.14111328125E-5,38,11,91,768800,17754,2559,3640,3258,1582,724,593,Tag0,unknown
1567585076534,0,-267,-5.86669921875E-5,51,13,123,2969678,16764673,26340,16745174,8306,12559,10640,2439,Tag0,unknown
1567585077540,0,-323,-7.09716796875E-5,60,17,123,957606,23892,9075,9322,2039,9533,972,557,Tag0,unknown
1567585078551,0,220,4.833984375E-5,67,3,123,830145,92984,8471,7530,18519,9129,5301,4230,Tag0,unknown
1567585079577,0,-519,-1.140380859375E-4,74,3,75,189648,18527,5173,7450,3651,5634,774,135,Tag0,unknown
1567585080581,0,561,1.232666015625E-4,80,3,54,1395226,37336,16744530,16751474,68142,68307,11817,5368,Tag0,unknown
1567585081589,0,-134,-2.9443359375000003E-5,67,3,54,989262,89234,4967,4906,6926,3436,925,771,Tag0,unknown
1567585082591,0,-342,-7.5146484375E-5,60,1,39,632377,98004,7587,4514,5582,6564,13212,7160,Tag0,unknown
1567585083597,0,-92,-2.021484375E-5,54,1,41,234275,68986,7930,10491,7919,9498,8449,4493,Tag0,unknown
1567585084601,0,-359,-7.88818359375E-5,43,1,41,16752351,6658,1343,2025,873,1631,741,411,Tag0,unknown
1567585085612,0,8,1.7578125E-6,75,21,41,495028,24578,16745261,28643,15489,16757949,23660,8705,Tag0,unknown
1567585086619,0,-122,-2.6806640625E-5,63,17,41,253498,406918,15354,22475,11351,9651,9434,4070,Tag0,unknown
1567585087619,0,65,1.42822265625E-5,60,10,41,71254,22367,1165,1291,2087,2117,731,1208,Tag0,unknown
1567585088619,0,-108,-2.3730468750000002E-5,66,1,37,170452,16753152,3043,8594,11092,13372,2868,3094,Tag0,unknown
1567585089623,0,-353,-7.75634765625E-5,54,1,37,568967,144312,31890,18818,17645,16748458,19815,2163,Tag0,unknown
1567585090632,0,295,6.48193359375E-5,80,1,37,641770,147549,16765610,9143,16750504,16747030,25309,17663,Tag0,unknown
1567585091636,0,-279,-6.13037109375E-5,88,1,41,265713,369767,16760044,16095,81241,87208,23584,4499,Tag0,unknown
1567585092644,0,66,1.4501953125E-5,80,13,41,122197,16748527,8232,15775,2779,7869,7195,5842,Tag0,unknown
1567585093652,0,57,1.2524414062500001E-5,75,7,37,237300,127201,2506,16747894,24241,30845,26042,7556,Tag0,unknown
1567585094657,0,-80,-1.7578125E-5,83,10,57,23827,18448,4882,11965,8634,13441,5653,1390,Tag0,unknown
1567585095664,0,21,4.614257812500001E-6,75,20,57,520182,16776044,2151,14072,3536,6000,4605,4838,Tag0,unknown
1567585096672,0,70,1.5380859375E-5,78,16,40,1163475,16757703,16754523,11211,65465,19215,21696,9003,Tag0,unknown
1567585097678,0,-268,-5.8886718750000006E-5,70,17,40,453873,56130,21229,8949,16748071,11572,11924,10186,Tag0,unknown
1567585098684,0,-300,-6.591796875E-5,63,21,40,314318,22090,17654,3094,13238,7500,5194,1453,Tag0,unknown
1567585099692,0,74,1.6259765625E-5,77,16,35,573078,16759143,171,11644,8270,14343,4857,1620,Tag0,unknown
1567585100699,0,-365,-8.02001953125E-5,70,24,44,403815,22937,16745088,3131,13555,7324,5244,4014,Tag0,unknown
