timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1567579752869,0,25,5.4931640625E-6,27,8,59,6968,16754191,5582,21086,15786,7964,5949,2818,Tag0,unknown
1567579753870,0,32,7.03125E-6,21,4,46,165024,19608,5744,10000,2620,3137,2166,976,Tag0,unknown
1567579754875,0,116,2.548828125E-5,26,3,46,1988404,108499,67946,18647,31495,25704,20921,13721,Tag0,unknown
1567579755884,0,68,1.4941406250000001E-5,23,8,46,16774889,12049,9283,1906,2719,818,829,919,Tag0,unknown
1567579756885,0,-297,-6.525878906250001E-5,23,8,46,16774889,12049,9283,1906,2719,818,829,919,Tag0,unknown
1567579757896,0,80,1.7578125E-5,23,10,46,90454,16832,11111,5187,4451,3552,6092,2447,Tag0,unknown
1567579758903,0,113,2.48291015625E-5,13,26,46,16752607,27787,5039,92476,8765,4909,15217,5490,Tag0,unknown
1567579759911,0,65,1.42822265625E-5,17,38,46,15157,16745768,30979,16772218,6305,7514,3000,6166,Tag0,unknown
1567579760911,0,35,7.6904296875E-6,13,60,46,13633,20551,16760680,60934,10515,8450,3243,914,Tag0,unknown
1567579761924,0,-262,-5.7568359375E-5,7,80,46,5048,9482,16744856,80347,4587,6619,2153,1081,Tag0,unknown
1567579762924,0,96,2.109375E-5,21,77,46,29595,24259,6695,16770521,10273,16733,1952,2482,Tag0,unknown
1567579763938,0,32,7.03125E-6,35,63,46,2983,16803,4161,19607,15216,8677,4409,1584,Tag0,unknown
1567579764938,0,27,5.9326171875000005E-6,51,51,46,21075,14353,22319,18575,5286,14673,5166,1438,Tag0,unknown
1567579765940,0,44,9.66796875E-6,51,47,46,2811,31033,76213,16772500,7726,9614,5173,2063,Tag0,unknown
1567579766941,0,19,4.1748046875E-6,44,41,46,199271,16745820,21535,23088,10264,6601,8732,5139,Tag0,unknown
1567579767948,0,-289,-6.35009765625E-5,37,48,38,559082,21969,17905,26595,11284,6181,15685,6337,Tag0,unknown
1567579768956,0,-309,-6.78955078125E-5,20,27,42,816661,248802,7977,1505,11177,15915,10738,5968,Tag0,unknown
1567579769960,0,-314,-6.8994140625E-5,17,11,42,800091,169266,18340,26229,20678,13396,18801,6014,Tag0,unknown
1567579770960,0,103,2.26318359375E-5,8,14,42,151609,110825,16758267,16757651,21907,7706,8023,4020,Tag0,unknown
1567579771964,0,50,1.0986328125E-5,4,30,42,16752650,16316,72140,84976,4570,10509,7012,7538,Tag0,unknown
1567579772965,0,71,1.56005859375E-5,10,60,42,7604,25143,16766526,16751825,8759,11915,12076,2234,Tag0,unknown
1567579773973,0,50,1.0986328125E-5,13,78,42,5962,30389,16775233,71228,16895,10520,7116,1918,Tag0,unknown
1567579774986,0,98,2.1533203125E-5,24,83,42,2153,27003,6940,28526,4852,6119,6109,5924,Tag0,unknown
1567579775989,0,44,9.66796875E-6,26,83,42,7008,13624,16765908,16756564,2750,8913,2977,2269,Tag0,unknown
1567579776989,0,12,2.63671875E-6,20,90,42,14186,8693,16745260,90753,8691,6325,4518,851,Tag0,unknown
1567579777989,0,42,9.228515625000002E-6,23,83,42,18483,14659,16057,29493,25993,5481,1617,1859,Tag0,unknown
1567579778992,0,20,4.39453125E-6,23,88,42,12208,28756,2451,71165,2824,11101,2046,6778,Tag0,unknown
1567579779998,0,44,9.66796875E-6,24,83,42,5162,26929,16758145,72192,28142,13075,5859,1588,Tag0,unknown
1567579781004,0,48,1.0546875E-5,37,77,42,6733,6363,2907,16753175,3230,7593,5433,1134,Tag0,unknown
1567579782011,0,49,1.07666015625E-5,48,77,42,7596,11824,5261,32051,10499,14310,3602,1221,Tag0,unknown
1567579783022,0,27,5.9326171875000005E-6,47,74,42,14397,26955,16937,16750235,12608,7224,1979,2457,Tag0,unknown
1567579784024,0,66,1.4501953125E-5,41,78,42,10884,13034,30794,88600,19537,7126,4124,2326,Tag0,unknown
1567579785033,0,114,2.5048828125000003E-5,29,80,42,4830,28903,16771742,59034,15113,10440,4915,1183,Tag0,unknown
1567579786040,0,86,1.8896484375000003E-5,20,90,42,5294,17660,16772877,78194,6786,15193,3792,3229,Tag0,unknown
1567579787045,0,109,2.39501953125E-5,16,96,42,16747641,31507,9379,63249,5503,10985,4898,1396,Tag0,unknown
1567579788053,0,76,1.669921875E-5,27,81,42,101300,94091,13790,16754895,9671,30015,11594,7269,Tag0,unknown
1567579789059,0,41,9.008789062499999E-6,29,78,42,18781,22675,21940,16749174,7887,4614,4454,655,Tag0,unknown
1567579790067,0,89,1.95556640625E-5,16,75,42,79328,13181,16746347,16531,2280,1658,1409,16777173,Tag0,unknown
1567579791074,0,-278,-6.108398437500001E-5,20,77,42,12781,3376,19794,81779,12952,8994,6176,2088,Tag0,unknown
1567579792074,0,51,1.1206054687499999E-5,1,96,42,8189,11097,12867,228148,16879,7367,4276,3927,Tag0,unknown
1567579793089,0,20,4.39453125E-6,4,88,42,16767253,16750039,7867,15722,4740,4932,5539,6113,Tag0,unknown
1567579794095,0,-266,-5.8447265625E-5,16,78,42,16775447,83052,16744340,16752018,13290,13164,3319,6612,Tag0,unknown
1567579795102,0,55,1.20849609375E-5,8,63,42,127563,93239,28534,19479,5524,5925,6206,3457,Tag0,unknown
1567579796113,0,76,1.669921875E-5,10,61,42,3837,7237,16748304,16775818,4562,3376,3360,2570,Tag0,unknown
1567579797115,0,85,1.86767578125E-5,11,69,42,5044,16757604,16753088,16771430,11806,13950,3584,2670,Tag0,unknown
1567579798121,0,61,1.34033203125E-5,8,74,42,28203,16749283,464,16769158,4331,4863,2660,1204,Tag0,unknown
1567579799121,0,76,1.669921875E-5,14,87,42,4220,11315,3679,32839,11638,9922,3283,4517,Tag0,unknown
1567579800124,0,50,1.0986328125E-5,27,78,42,5495,25567,18199,16760804,1541,10187,2691,735,Tag0,unknown
1567579801126,0,-281,-6.17431640625E-5,29,83,42,9808,11344,6327,70167,3812,10681,4179,1425,Tag0,unknown
1567579802133,0,57,1.2524414062500001E-5,29,91,42,15318,11859,39928,16761635,18480,8294,4807,3516,Tag0,unknown
1567579803161,0,28,6.15234375E-6,17,96,42,21217,4447,16770234,83085,16302,3576,2247,2450,Tag0,unknown
1567579804164,0,71,1.56005859375E-5,10,97,42,20077,24475,28391,79668,11496,6866,3977,2183,Tag0,unknown
1567579805173,0,1,2.197265625E-7,1,100,42,15268,22293,10395,55636,5418,5529,3541,1414,Tag0,unknown
1567579806195,0,-263,-5.7788085937500005E-5,1,91,42,176,16759335,14009,16774560,16150,4513,3209,1260,Tag0,unknown
1567579807200,0,21,4.614257812500001E-6,4,87,42,4504,23593,19209,83899,7117,9441,2698,2418,Tag0,unknown
1567579808209,0,77,1.69189453125E-5,7,88,42,16753130,24283,16750270,37359,9312,10000,3041,1300,Tag0,unknown
1567579809215,0,-263,-5.7788085937500005E-5,14,77,42,7128,24899,32576,22448,16756679,6946,5576,1529,Tag0,unknown
1567579810222,0,65,1.42822265625E-5,29,78,42,20664,15188,9389,16762820,11838,11907,2209,4222,Tag0,unknown
1567579811230,0,35,7.6904296875E-6,34,77,42,4735,22565,13495,47438,15707,16334,5659,1024,Tag0,unknown
