timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1566626242158,25,54,1.1865234375000001E-5,0,0,42,16489,230,619,350,523,178,16777127,48,Tag0,unknown
1566626243164,0,-261,-5.73486328125E-5,0,0,42,517723,140557,16769867,16774983,18106,16760720,26474,16744532,Tag0,unknown
1566626244171,0,28,6.15234375E-6,0,0,42,16751892,21246,20272,9593,8969,21227,20340,5620,Tag0,unknown
1566626245177,0,-364,-7.998046875E-5,0,0,37,567112,16756430,16771232,24194,16767223,16755848,15669,7366,Tag0,unknown
1566626246185,0,38,8.349609375E-6,38,30,37,788530,16751008,12442,7681,23431,14326,12488,6122,Tag0,unknown
1566626247192,0,8,1.7578125E-6,61,21,37,146109,14908,7365,8019,28702,28162,9557,3771,Tag0,unknown
1566626248200,0,28,6.15234375E-6,69,14,37,30610,16745681,4125,16722,17267,24825,10383,13964,Tag0,unknown
1566626249205,0,-379,-8.32763671875E-5,61,38,51,470815,21541,16774162,16751168,22137,26668,17687,16140,Tag0,unknown
1566626250214,0,53,1.1645507812500002E-5,48,38,51,74074,16744492,10817,1406,4635,7169,10832,3827,Tag0,unknown
1566626251220,0,40,8.7890625E-6,37,37,40,160318,27059,4776,6895,3323,21795,12036,2861,Tag0,unknown
1566626252226,0,98,2.1533203125E-5,30,24,40,114114,60015,10174,7157,16745238,16762608,27565,5725,Tag0,unknown
1566626253236,0,-328,-7.207031249999999E-5,27,10,45,84997,16363,4898,9289,3346,5547,7296,8324,Tag0,unknown
1566626254242,0,58,1.2744140625E-5,21,14,45,522413,138492,25668,19596,20834,25840,15479,9979,Tag0,unknown
1566626255247,0,119,2.6147460937500004E-5,1,24,39,1742160,16767491,15110,4536,6430,7610,4960,1415,Tag0,unknown
1566626256253,0,53,1.1645507812500002E-5,1,47,39,16756462,78249,19340,26390,6673,16748673,23178,4055,Tag0,unknown
1566626257262,0,80,1.7578125E-5,27,30,39,4964,10812,7646,10511,16750677,16758151,29775,27614,Tag0,unknown
1566626258267,0,112,2.4609375E-5,40,50,39,130441,12791,12723,10937,6688,7847,9738,5157,Tag0,unknown
1566626259275,0,-40,-8.7890625E-6,63,34,39,80143,31012,2150,2106,2482,16211,4339,2914,Tag0,unknown
1566626260285,0,4,8.7890625E-7,54,43,43,642840,13606,10677,8357,2485,8249,8247,5606,Tag0,unknown
1566626261288,0,0,0.0,41,37,43,56531,79089,8765,8871,9107,16767152,26729,8908,Tag0,unknown
1566626262295,0,88,1.93359375E-5,61,24,43,424550,15810,9576,12839,14829,27697,29180,9148,Tag0,unknown
1566626263303,0,50,1.0986328125E-5,54,50,43,125049,26722,21423,9154,14252,20296,12079,10274,Tag0,unknown
1566626264310,0,49,1.07666015625E-5,70,41,39,26644,18391,11126,22365,16746077,16746081,13244,7823,Tag0,unknown
1566626265317,0,38,8.349609375E-6,57,61,39,43192,22462,12616,5456,2641,9777,2467,3050,Tag0,unknown
1566626266324,0,65,1.42822265625E-5,63,43,39,16754597,16747728,9140,2486,16745501,16752568,12534,6875,Tag0,unknown
1566626267332,0,76,1.669921875E-5,53,35,39,637896,75180,13436,28814,16754190,21544,18726,18157,Tag0,unknown
1566626268337,0,87,1.91162109375E-5,37,37,39,16772423,23600,2432,13440,3737,10062,12101,4480,Tag0,unknown
1566626269349,0,103,2.26318359375E-5,38,35,39,323363,20439,15464,2666,7716,10339,8083,3164,Tag0,unknown
1566626270351,0,45,9.8876953125E-6,11,34,39,683838,313233,4856,29768,22902,73307,28925,14525,Tag0,unknown
1566626271357,0,24,5.2734375E-6,3,14,39,122769,68442,1153,617,2951,7160,10322,2707,Tag0,unknown
1566626272364,0,54,1.1865234375000001E-5,17,21,39,9612,26217,16748388,10024,13241,16760378,16750387,12305,Tag0,unknown
