timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1567780357956,25,43,9.448242187500001E-6,0,0,63,1254,334,30,73,63,31,7,3,Tag0,unknown
1567780358971,0,101,2.2192382812500002E-5,0,0,62,2456031,55514,6677,28437,23725,16750267,10942,7041,Tag0,unknown
1567780359986,0,-72,-1.58203125E-5,0,0,62,2456031,55514,6677,28437,23725,16750267,10942,7041,Tag0,unknown
1567780361000,0,48,1.0546875E-5,41,50,79,1973588,224852,91683,15637,19723,16764987,16749386,14712,Tag0,unknown
1567780362023,0,11,2.4169921875E-6,38,43,47,16757725,22799,5340,1000,4464,3495,3101,1378,Tag0,unknown
1567780363052,0,-265,-5.82275390625E-5,48,66,56,16769016,22157,9540,15602,7391,10507,2972,965,Tag0,unknown
1567780364059,0,28,6.15234375E-6,66,48,41,710548,16335,1272,1010,3540,5535,9560,2280,Tag0,unknown
1567780365080,0,64,1.40625E-5,80,61,39,97179,30818,21423,7473,1830,16569,9846,3577,Tag0,unknown
1567780366081,0,-279,-6.13037109375E-5,75,91,37,1484781,148218,175473,68022,9367,16755260,16753077,30863,Tag0,unknown
1567780367081,0,-64,-1.40625E-5,53,66,58,523287,16757327,13515,6012,10217,6295,7978,2533,Tag0,unknown
1567780368095,0,-259,-5.69091796875E-5,17,77,40,867310,76312,10657,8324,9034,5400,9066,4201,Tag0,unknown
1567780369099,0,35,7.6904296875E-6,7,44,56,32528,26525,5567,2897,12523,6058,7352,3216,Tag0,unknown
1567780370141,0,116,2.548828125E-5,40,26,56,16759721,16746322,18367,21936,15181,16751884,16758799,11940,Tag0,unknown
1567780371149,0,96,2.109375E-5,30,11,56,46939,48660,2262,12066,3128,5902,9921,2149,Tag0,unknown
1567780372162,0,16,3.515625E-6,43,23,60,159403,200886,65686,16753577,16114,26466,16761414,20135,Tag0,unknown
1567780373179,0,-284,-6.240234375E-5,57,26,60,582060,16765310,14620,8797,9514,16746971,16773241,11285,Tag0,unknown
1567780374199,0,24,5.2734375E-6,43,3,57,30617,20995,1601,520,2907,4658,13013,9472,Tag0,unknown
1567780375219,0,-199,-4.3725585937499995E-5,66,8,38,80066,16753181,3556,2470,3167,7917,17896,4314,Tag0,unknown
1567780376239,0,55,1.20849609375E-5,70,1,50,571882,106143,13145,14559,20252,20732,16749143,7800,Tag0,unknown
1567780377242,0,68,1.4941406250000001E-5,66,14,45,32061,25456,83716,7227,14775,16753831,16746824,6725,Tag0,unknown
1567780378247,0,80,1.7578125E-5,56,17,45,1133730,277620,10832,25328,7480,16745938,16753550,5345,Tag0,unknown
1567780379255,0,37,8.1298828125E-6,43,47,57,290384,16759351,16749864,16773404,16762728,13555,16749344,7620,Tag0,unknown
1567780380259,0,-322,-7.0751953125E-5,70,74,45,200035,30620,16750306,23952,4257,16759424,16755010,10923,Tag0,unknown
1567780381259,0,-312,-6.85546875E-5,50,48,45,1392269,58299,9690,19441,10405,15334,27958,20234,Tag0,unknown
1567780382259,0,65,1.42822265625E-5,37,51,47,364489,219412,20534,18559,16746918,13766,13808,9729,Tag0,unknown
1567780383259,0,-275,-6.04248046875E-5,66,34,46,66177,28369,9172,9015,26414,22744,15265,3833,Tag0,unknown
1567780384279,0,-198,-4.3505859375000006E-5,47,27,46,431050,91063,16753239,16749850,12451,26432,13267,4375,Tag0,unknown
1567780385284,0,74,1.6259765625E-5,47,27,46,65648,16747625,3175,6377,12026,4601,3858,2327,Tag0,unknown
1567780386286,0,-262,-5.7568359375E-5,43,30,46,773663,670153,16752519,80806,16750527,16744349,24025,13369,Tag0,unknown
1567780387293,0,88,1.93359375E-5,43,34,46,12816,17351,9598,8208,4733,16750339,16759353,7365,Tag0,unknown
1567780388301,0,43,9.448242187500001E-6,41,34,43,391777,15011,5893,7115,965,5364,5218,5609,Tag0,unknown
1567780389342,0,-257,-5.64697265625E-5,34,38,41,885305,285379,16768379,16748138,16747114,27517,23067,4668,Tag0,unknown
1567780390348,51,2,4.39453125E-7,34,38,41,950115,54430,25957,92680,62699,76308,29454,6494,Tag0,unknown
1567780391360,26,595,1.307373046875E-4,34,38,41,514389,16772114,31319,28359,91463,31569,4186,5698,Tag0,unknown
1567780392363,51,513,1.127197265625E-4,34,38,41,1125463,64860,23541,60238,46980,78378,21235,25823,Tag0,unknown
1567780393369,51,-1089,-2.392822265625E-4,34,38,41,760197,147300,17874,31752,275027,16772577,17079,4234,Tag0,unknown
1567780394375,51,-136,-2.9882812500000002E-5,34,38,41,1680146,36862,13285,36094,226275,86510,92553,16768421,Tag0,unknown
1567780395380,51,81,1.77978515625E-5,34,38,41,1671588,257536,292828,145291,233040,175116,227137,88383,Tag0,unknown
1567780396399,26,-1192,-2.619140625E-4,34,38,41,1233036,97092,16769440,16756032,620326,42961,143239,16752834,Tag0,unknown
1567780397419,51,-934,-2.05224609375E-4,34,38,41,878226,890090,861343,311927,1039408,261907,70076,119291,Tag0,unknown
1567780398420,51,-773,-1.6984863281250002E-4,34,38,41,1708214,332246,265917,284715,358999,351942,176781,135598,Tag0,unknown
1567780399429,26,-1230,-2.70263671875E-4,34,38,41,595907,137805,61734,201768,217643,62497,221032,89631,Tag0,unknown
1567780400435,26,-1508,-3.3134765625E-4,34,38,41,16767966,16752031,7751,27255,73363,16750039,16771972,19498,Tag0,unknown
1567780401440,26,-2161,-4.748291015625E-4,34,38,41,673287,194662,16760789,362246,224919,332569,62988,62981,Tag0,unknown
1567780402459,26,-1650,-3.62548828125E-4,34,38,41,114829,187526,72095,147381,196515,217645,99328,92262,Tag0,unknown
